"","Hour","Casual","Member"
"1",0,6.98591549295775,35.0222222222222
"2",1,4.96363636363636,19.9222222222222
"3",2,5.12765957446809,13.5862068965517
"4",3,3.71428571428571,6.56976744186047
"5",4,1.82051282051282,9.32584269662921
"6",5,2.08333333333333,49.2888888888889
"7",6,2.83561643835616,141.088888888889
"8",7,7.3953488372093,329.933333333333
"9",8,16.4719101123596,581.522222222222
"10",9,20.561797752809,344.988888888889
"11",10,31.6,217.811111111111
"12",11,46.4252873563218,242.888888888889
"13",12,54.6404494382022,288.344444444444
"14",13,62.5,283.788888888889
"15",14,71.1797752808989,277.166666666667
"16",15,76.2333333333333,324.866666666667
"17",16,76.5777777777778,436.888888888889
"18",17,72.9666666666667,651.655555555556
"19",18,49.438202247191,508.222222222222
"20",19,31.6511627906977,312.477777777778
"21",20,20.4096385542169,196.977777777778
"22",21,16.4186046511628,140.277777777778
"23",22,13.6588235294118,96.7444444444444
"24",23,9.25333333333333,59.6777777777778
