"","Hour","Casual","Member"
"1",0,21.8913043478261,89.5978260869565
"2",1,13.9782608695652,49.4891304347826
"3",2,8.86516853932584,31.6195652173913
"4",3,6.02702702702703,16.4505494505494
"5",4,2.97260273972603,20.1521739130435
"6",5,4.34444444444444,82.3586956521739
"7",6,9.45652173913044,265.228260869565
"8",7,22.3695652173913,610.260869565217
"9",8,45.4891304347826,961.70652173913
"10",9,64.6847826086957,559.228260869565
"11",10,88.9673913043478,405.565217391304
"12",11,106.141304347826,443.173913043478
"13",12,116.532608695652,502.630434782609
"14",13,118.065217391304,491.086956521739
"15",14,122.826086956522,472.75
"16",15,124.869565217391,540.054347826087
"17",16,126.152173913043,710.945652173913
"18",17,141.902173913043,1084.84782608696
"19",18,130.086956521739,916.967391304348
"20",19,109.782608695652,650.032608695652
"21",20,82.7934782608696,454.010869565217
"22",21,65.0108695652174,330.858695652174
"23",22,51.2391304347826,242.641304347826
"24",23,34.5434782608696,157.29347826087
